emoji,article,views,rank,year,month,day,date
☠️,Raj_Kaushal,456242,3,2021,6,30,2021-06-30
⚖️,Bill_Cosby,278035,3,2021,7,1,2021-07-01
⚽,UEFA_Euro_2020,351837,3,2021,7,2,2021-07-02
🎨,Ludwig_Guttmann,507426,3,2021,7,3,2021-07-03
🇺🇸,Independence_Day_(United_States),336754,3,2021,7,4,2021-07-04
🎾,Emma_Raducanu,414120,3,2021,7,5,2021-07-05
🔴,Murder_of_James_Bulger,641447,3,2021,7,6,2021-07-06
☠️,Dilip_Kumar,1616679,2,2021,7,7,2021-07-07
☠️,Dilip_Kumar,520365,3,2021,7,8,2021-07-08
📺,Black_Widow_(2021_film),606312,3,2021,7,9,2021-07-09
🎾,Ashleigh_Barty,713380,3,2021,7,10,2021-07-10
⚽,Copa_América,903538,3,2021,7,11,2021-07-11
⚽,UEFA_Euro_2020,422235,3,2021,7,12,2021-07-12
📺,Black_Widow_(2021_film),228046,3,2021,7,13,2021-07-13
📺,Loki_(TV_series),512249,3,2021,7,14,2021-07-14
📺,Kang_the_Conqueror,407277,3,2021,7,15,2021-07-15
📺,Space_Jam:_A_New_Legacy,248325,3,2021,7,16,2021-07-16
☠️,Biz_Markie,615710,3,2021,7,17,2021-07-17
⛳,Collin_Morikawa,514816,3,2021,7,18,2021-07-18
🤼‍♂️,Money_in_the_Bank_(2021),514632,3,2021,7,19,2021-07-19
🚀,Jeff_Bezos,407283,3,2021,7,20,2021-07-20
🏀,Giannis_Antetokounmpo,1262145,3,2021,7,21,2021-07-21
🏀,Giannis_Antetokounmpo,297694,3,2021,7,22,2021-07-22
🏅,2020_Summer_Olympics,518298,3,2021,7,23,2021-07-23
🏅,2020_Summer_Olympics,685967,3,2021,7,24,2021-07-24
🏅,2020_Summer_Olympics,640602,3,2021,7,25,2021-07-25
🏊‍♂️,Tom_Daley,659782,3,2021,7,26,2021-07-26
🏅,2020_Summer_Olympics,588049,3,2021,7,27,2021-07-27
☠️,Joey_Jordison,605168,3,2021,7,28,2021-07-28
🤸,Sunisa_Lee,541258,3,2021,7,29,2021-07-29
🏅,2020_Summer_Olympics,457003,3,2021,7,30,2021-07-30
🏅,2020_Summer_Olympics,457511,3,2021,7,31,2021-07-31
🏃,Marcell_Jacobs,699068,3,2021,8,1,2021-08-01
🏅,2020_Summer_Olympics,474846,3,2021,8,2,2021-08-02
🏅,2020_Summer_Olympics,434456,3,2021,8,3,2021-08-03
🛹,Sky_Brown,528186,3,2021,8,4,2021-08-04
🏅,2020_Summer_Olympics,442837,3,2021,8,5,2021-08-05
📺,The_Suicide_Squad_(film),575787,3,2021,8,6,2021-08-06
🏅,Neeraj_Chopra,1589952,2,2021,8,7,2021-08-07
🏅,Neeraj_Chopra,653368,3,2021,8,8,2021-08-08
📺,The_Suicide_Squad_(film),418182,3,2021,8,9,2021-08-09
⚽,Lionel_Messi,470414,3,2021,8,10,2021-08-10
⚽,Lionel_Messi,334695,3,2021,8,11,2021-08-11
☠️,Una_Stubbs,347815,3,2021,8,12,2021-08-12
🇦🇫,Taliban,288168,3,2021,8,13,2021-08-13
🇦🇫,Taliban,307322,3,2021,8,14,2021-08-14
🇦🇫,Taliban,1311400,3,2021,8,15,2021-08-15
🇦🇫,Taliban,1951627,2,2021,8,16,2021-08-16
🇦🇫,Taliban,1316748,3,2021,8,17,2021-08-17
☠️,Sean_Lock,882711,3,2021,8,18,2021-08-18
🇦🇫,Taliban,407338,3,2021,8,19,2021-08-19
🇦🇫,Taliban,290851,3,2021,8,20,2021-08-20
🇦🇫,Taliban,222100,3,2021,8,21,2021-08-21
🤼‍♂️,SummerSlam_(2021),732995,3,2021,8,22,2021-08-22
☠️,Jimmy_Hayes_(ice_hockey),171220,3,2021,8,23,2021-08-23
☠️,Charlie_Watts,813281,3,2021,8,24,2021-08-24
☠️,Charlie_Watts,555747,3,2021,8,25,2021-08-25
⚽,2021–22_UEFA_Champions_League,200248,3,2021,8,26,2021-08-26
⚽,Cristiano_Ronaldo,968667,3,2021,8,27,2021-08-27
⚽,Cristiano_Ronaldo,581929,3,2021,8,28,2021-08-28
🎵,Donda_(album),583012,3,2021,8,29,2021-08-29
☠️,Ed_Asner,415921,3,2021,8,30,2021-08-30
🕵️,Noor_Inayat_Khan,306256,3,2021,8,31,2021-08-31
⚽,Cristiano_Ronaldo,204999,3,2021,9,1,2021-09-01
☠️,Sidharth_Shukla,2102579,2,2021,9,2,2021-09-02
☠️,Sidharth_Shukla,528642,3,2021,9,3,2021-09-03
📺,Shang-Chi_and_the_Legend_of_the_Ten_Rings,436762,3,2021,9,4,2021-09-04
☠️,Sarah_Harding,605428,3,2021,9,5,2021-09-05
☠️,Michael_K._Williams,880835,3,2021,9,6,2021-09-06
☠️,Michael_K._Williams,1202267,3,2021,9,7,2021-09-07
🎨,Avicii,642056,3,2021,9,8,2021-09-08
🎥,Steve_Burns,379127,3,2021,9,9,2021-09-09
🎾,Emma_Raducanu,844151,3,2021,9,10,2021-09-10
🎾,Emma_Raducanu,1358631,2,2021,9,11,2021-09-11
🎾,Emma_Raducanu,1250376,3,2021,9,12,2021-09-12
🎾,Emma_Raducanu,446110,3,2021,9,13,2021-09-13
☠️,Norm_Macdonald,989607,3,2021,9,14,2021-09-14
☠️,Norm_Macdonald,1038965,3,2021,9,15,2021-09-15
☠️,Norm_Macdonald,355024,3,2021,9,16,2021-09-16
🎨,Michiyo_Tsujimura,327057,3,2021,9,17,2021-09-17
⚖️,Robert_Durst,232169,3,2021,9,18,2021-09-18
☠️,Jimmy_Greaves,469828,3,2021,9,19,2021-09-19
☠️,Disappearance_of_Gabby_Petito,674784,3,2021,9,20,2021-09-20
🗳️,2021_Canadian_federal_election,623058,3,2021,9,21,2021-09-21
☠️,Willie_Garson,1027020,3,2021,9,22,2021-09-22
📺,Squid_Game,387829,3,2021,9,23,2021-09-23
📺,Squid_Game,412801,3,2021,9,24,2021-09-24
🎨,Christopher_Reeve,1064033,3,2021,9,25,2021-09-25
📺,Squid_Game,570608,3,2021,9,26,2021-09-26
📺,Squid_Game,572910,3,2021,9,27,2021-09-27
📺,Squid_Game,595832,3,2021,9,28,2021-09-28
📺,Squid_Game,714864,3,2021,9,29,2021-09-29
📺,Squid_Game,695259,3,2021,9,30,2021-09-30
📺,Squid_Game,706299,3,2021,10,1,2021-10-01
📺,Squid_Game,820077,3,2021,10,2,2021-10-02
📺,Squid_Game,889821,3,2021,10,3,2021-10-03
📺,Squid_Game,832259,3,2021,10,4,2021-10-04
📺,Squid_Game,830498,3,2021,10,5,2021-10-05
📺,Squid_Game,764624,3,2021,10,6,2021-10-06
📺,Squid_Game,735780,3,2021,10,7,2021-10-07
📺,Squid_Game,660226,3,2021,10,8,2021-10-08
📺,Squid_Game,648045,3,2021,10,9,2021-10-09
🥊,Tyson_Fury,975558,3,2021,10,10,2021-10-10
📺,Squid_Game,603526,3,2021,10,11,2021-10-11
📺,Squid_Game,532162,3,2021,10,12,2021-10-12
📺,Squid_Game,530377,3,2021,10,13,2021-10-13
📺,Squid_Game,473500,3,2021,10,14,2021-10-14
☠️,David_Amess,741661,3,2021,10,15,2021-10-15
📺,Squid_Game,414038,3,2021,10,16,2021-10-16
📺,Squid_Game,458604,3,2021,10,17,2021-10-17
☠️,Colin_Powell,1375210,3,2021,10,18,2021-10-18
☠️,Colin_Powell,528769,3,2021,10,19,2021-10-19
📺,Squid_Game,303020,3,2021,10,20,2021-10-20
🤼‍♂️,Crown_Jewel_(2021),454365,3,2021,10,21,2021-10-21
🔴,Alec_Baldwin,911875,3,2021,10,22,2021-10-22
📺,Dune_(2021_film),627535,3,2021,10,23,2021-10-23
📺,Dune_(2021_film),625886,3,2021,10,24,2021-10-24
🎨,Claude_Cahun,520553,3,2021,10,25,2021-10-25
📺,Dune_(2021_film),360738,3,2021,10,26,2021-10-26
📺,Dune_(2021_film),313448,3,2021,10,27,2021-10-27
🎨,Kanō_Jigorō,274030,3,2021,10,28,2021-10-28
☠️,Puneeth_Rajkumar,2341755,2,2021,10,29,2021-10-29
☠️,Puneeth_Rajkumar,904661,3,2021,10,30,2021-10-30
👻,Halloween,589953,3,2021,10,31,2021-10-31
🎥,Kal_Penn,290240,3,2021,11,1,2021-11-01
📺,Jai_Bhim_(film),260748,3,2021,11,2,2021-11-02
🇺🇸,Glenn_Youngkin,468877,3,2021,11,3,2021-11-03
🪔,Diwali,433313,3,2021,11,4,2021-11-04
📺,Eternals_(film),566556,3,2021,11,5,2021-11-05
📺,Eternals_(film),500883,3,2021,11,6,2021-11-06
🤼‍♂️,UFC_268,515449,3,2021,11,7,2021-11-07
🎨,Kamal_Ranadive,413902,3,2021,11,8,2021-11-08
🎵,Travis_Scott,232910,3,2021,11,9,2021-11-09
⚖️,Kenosha_unrest_shooting,427624,3,2021,11,10,2021-11-10
⚖️,Kenosha_unrest_shooting,491644,3,2021,11,11,2021-11-11
⚖️,Kenosha_unrest_shooting,286727,3,2021,11,12,2021-11-12
📺,Shang-Chi_and_the_Legend_of_the_Ten_Rings,334183,3,2021,11,13,2021-11-13
🏏,ICC_Men's_T20_World_Cup,286758,3,2021,11,14,2021-11-14
⚖️,Adele,715608,3,2021,11,15,2021-11-15
⚽,2022_FIFA_World_Cup_qualification_(UEFA),289156,3,2021,11,16,2021-11-16
☠️,Young_Dolph,541868,3,2021,11,17,2021-11-17
☠️,Young_Dolph,448254,3,2021,11,18,2021-11-18
⚖️,Kenosha_unrest_shooting,806769,3,2021,11,19,2021-11-19
⚖️,Kenosha_unrest_shooting,986906,3,2021,11,20,2021-11-20
⚖️,Adele,351843,3,2021,11,21,2021-11-21
📺,Survivor_Series_(2021),351798,3,2021,11,22,2021-11-22
🤰,Choi_Tae-joon,222306,3,2021,11,23,2021-11-23
